close_date,amount,deal_name,deal_stage,email
2021-09-16,"$40,000",Diplomats - Enterprise Deal,Lost,louisecarr@diplomats.com
2021-11-30,"$10,000",Archers - Business Deal,Won,kathleenthomas@archers.net
2021-11-28,"$10,000",WeedWackers - Business Deal,Lost,juanitawalker@weedwackers.co
2021-10-27,"$40,000",Mustangs - Enterprise Deal,Won,briananderson@mustangs.com
2021-11-05,"$10,000",HighRollers - Business Deal,Lost,markscott@highrollers.ai
2021-12-02,"$10,000",Oilers - Business Deal,Won,bobbywarren@oilers.co
2022-11-15,"$10,000",Coffee Mugs - Business Deal,Won,amygardner@coffeemugs.com
2021-10-14,"$10,000",Strangers - Business Deal,Won,robertomartin@strangers.co
2021-10-23,"$40,000",Pacers - Enterprise Deal,Lost,francesstark@pacers.net
2022-11-23,"$10,000",Ring Leaders - Business Deal,Won,frankielouis@ringleaders.com
2021-10-30,"$10,000",StormChasers - Business Deal,Won,suzannehedden@stormchasers.net
2021-11-26,"$40,000",Lakers - Enterprise Deal,Won,tarabailey@lakers.com
2021-10-29,"$10,000",Lakehawks - Business Deal,Lost,darrellfowler@lakehawks.co
2021-11-14,"$10,000",Avalanche - Business Deal,Lost,jacobjohnson@avalanche.com
2022-01-19,"$10,000",Hellraisers - Business Deal,Lost,virginiadrake@hellraisers.co
2021-10-15,"$10,000",Shameless - Business Deal,Won,mindyforsberg@shameless.co
2021-10-05,"$10,000",Outlaws - Business Deal,Won,gracegarry@outlaws.com
2021-11-05,"$10,000",Keep it 100 - Business Deal,Won,loisflores@keepit100.ai
2021-11-12,"$10,000",Marines - Business Deal,Lost,edwinbrown@marines.com
2021-10-27,"$40,000",Astronomic - Enterprise Deal,Lost,juanitaprevost@astronomic.co
2021-11-05,"$10,000",Gamecocks - Business Deal,Lost,barbarataylor@gamecocks.net
2021-10-12,"$10,000",Black Panthers - Business Deal,Won,margaretwhite@blackpanthers.net
2021-11-09,"$10,000",Hooks - Business Deal,Lost,brucefalbo@hooks.com
2021-11-20,"$40,000",Wolverines - Enterprise Deal,Lost,roycebarrett@wolverines.co
2021-11-16,"$10,000",Wanderers - Business Deal,Won,alejandrowinegar@wanderers.com
2021-11-29,"$10,000",Aztecs - Business Deal,Lost,jamesdeanda@aztecs.ai
2021-12-01,"$40,000",Rumble - Enterprise Deal,Won,elizabethwhite@rumble.co
2021-11-28,"$40,000",Evolution - Enterprise Deal,Won,bettierand@evolution.net
2021-10-24,"$10,000",Griffins - Business Deal,Lost,jolenehunt@griffins.com
2021-11-08,"$10,000",Strikers - Business Deal,Won,alicewhitrock@strikers.com
2021-12-27,"$40,000",Best Team Name - Enterprise Deal,Lost,rogermartinez@bestteamname.com
2021-12-20,"$10,000",Cyclones - Business Deal,Won,stevensannicolas@cyclones.com
2021-11-19,"$10,000",Lightning - Business Deal,Lost,marymoore@lightning.com
2021-11-02,"$10,000",Rescue Team - Business Deal,Won,selmaaiton@rescueteam.com
2021-10-24,"$10,000",Rays - Business Deal,Lost,daniellarmon@rays.com
2021-11-23,"$10,000",Phenomenon - Business Deal,Lost,charlesmestas@phenomenon.ai
2021-11-05,"$10,000",RiverRats - Business Deal,Lost,michaelgonzales@riverrats.com
2021-09-22,"$10,000",Piranhas - Business Deal,Lost,marcushimenez@piranhas.com
2021-11-29,"$10,000",Firing Squad - Business Deal,Lost,adammoore@firingsquad.co
2021-11-19,"$10,000",Circus Animals - Business Deal,Won,rosafenner@circusanimals.net
2021-11-28,"$10,000",Jets - Business Deal,Lost,richardrodriguez@jets.com
2021-10-12,"$10,000",Sharks - Business Deal,Lost,amandaheyd@sharks.co
2021-10-03,"$10,000",Cavaliers - Business Deal,Lost,richardmckenzie@cavaliers.co
2021-11-12,"$10,000",Northern Lights - Business Deal,Lost,madelinealvarez@northernlights.com
2021-11-01,"$10,000",Bucks - Business Deal,Lost,scotthinshaw@bucks.ai
2021-11-25,"$10,000",Bees - Business Deal,Won,anthonyrandazzo@bees.co
2021-11-30,"$10,000",Lobos - Business Deal,Won,michaeljones@lobos.com
2021-10-11,"$10,000",Vicious - Business Deal,Lost,lindamaher@vicious.co
2021-10-28,"$10,000",Bosses - Business Deal,Lost,jenniferdavidson@bosses.com
2021-10-09,"$10,000",Dolphins - Business Deal,Lost,debraromiro@dolphins.net
2021-11-01,"$10,000",Longhorns - Business Deal,Won,davidlee@longhorns.net
2021-11-25,"$40,000",Movers and Shakers - Enterprise Deal,Lost,davidpolito@moversandshakers.ai
2021-11-19,"$10,000",Security - Business Deal,Won,kennethraines@security.ai
2021-11-05,"$10,000",Belles - Business Deal,Lost,corneliafoti@belles.co
2021-10-21,"$10,000",KPS - Business Deal,Lost,eddiepowell@kps.com
2021-10-16,"$10,000",Spacklers Vermin Control - Business Deal,Won,maryveselka@spacklersvermincontrol.com
2021-10-28,"$10,000",Amigos - Business Deal,Lost,marshallmuney@amigos.com
2021-10-29,"$10,000",Rams - Business Deal,Won,williamkisicki@rams.la
2021-11-30,"$10,000",Gm - Business Deal,Lost,lorisnider@gm.net
2021-10-28,"$10,000",Alphas - Business Deal,Won,maryfagan@alphas.com
2021-11-28,"$10,000",Beasts - Business Deal,Lost,lonaselley@beasts.com
2021-11-16,"$10,000",Retrievers - Business Deal,Lost,thomasrudish@retrievers.ai
2021-09-20,"$10,000",Vipers - Business Deal,Won,gladyshodges@vipers.co
2021-11-01,"$10,000",Rebellion - Business Deal,Lost,barbaramcqueen@rebellion.co
2021-11-14,"$10,000",Bisons - Business Deal,Lost,leahforest@bisons.com
2021-10-23,"$10,000",Generals - Business Deal,Lost,oliviathresher@generals.co
2021-11-19,"$10,000",Bulletproof - Business Deal,Lost,aaronoatman@bulletproof.co
2021-11-22,"$10,000",Eighties Babies - Business Deal,Won,maritzadegiulio@eightiesbabies.com
2021-11-04,"$10,000",Bighorns - Business Deal,Lost,saralevitsky@bighorns.com
2021-11-21,"$10,000",Shock and Awe - Business Deal,Lost,sharonhall@shockandawe.co
2021-11-21,"$10,000",Blazers - Business Deal,Lost,markchin@blazers.net
2021-11-27,"$10,000",Alma Halloween - Business Deal,Lost,brandicarrasco@almahalloween.net
2021-11-07,"$10,000",Fury - Business Deal,Won,lauracobb@fury.co
